time_s,force_z_n,ee_x_m,ee_y_m,ee_z_m
16.019284,19.22329691,-0.48023407,0.28229799,0.32469370
16.067254,19.09060845,-0.48027616,0.28232282,0.32373293
16.115603,19.23959765,-0.48031730,0.28234955,0.32278479
16.165802,18.84212187,-0.48034136,0.28237471,0.32184905
16.219212,19.05405912,-0.48034130,0.28242885,0.32090477
16.265709,19.09610565,-0.48034756,0.28248646,0.31996782
16.318247,18.54884386,-0.48038568,0.28254717,0.31901382
16.366846,19.21539131,-0.48041342,0.28259279,0.31801900
16.417868,19.10208169,-0.48045757,0.28260767,0.31704496
16.458041,19.00615304,-0.48047841,0.28264630,0.31607395
16.516486,18.96046118,-0.48053627,0.28267830,0.31511593
16.566525,19.05607652,-0.48056991,0.28271059,0.31414477
16.616644,18.86790848,-0.48058129,0.28274250,0.31317069
16.667619,18.71343843,-0.48062289,0.28277391,0.31218494
16.714931,18.95930188,-0.48066895,0.28278890,0.31120050
16.770585,19.07548718,-0.48071024,0.28281119,0.31020358
16.817747,18.74888032,-0.48075498,0.28283275,0.30920498
16.870003,19.02939143,-0.48079071,0.28285669,0.30820686
16.921515,19.04221270,-0.48083602,0.28287567,0.30721927
16.965037,19.17364765,-0.48087904,0.28289943,0.30624678
17.023263,18.70611873,-0.48092504,0.28291887,0.30528802
17.067082,18.94582703,-0.48096835,0.28295381,0.30433756
17.117866,18.64160138,-0.48101264,0.28297284,0.30339702
17.168393,19.15494147,-0.48106627,0.28302100,0.30245801
17.217465,18.93149225,-0.48111093,0.28305750,0.30152649
17.266656,19.17871340,-0.48115926,0.28307286,0.30060232
17.318634,18.87238672,-0.48118016,0.28307585,0.29967638
17.368545,18.93698626,-0.48121713,0.28307481,0.29875855
17.415995,18.84839260,-0.48126194,0.28308723,0.29784024
17.466974,19.03660651,-0.48128865,0.28312236,0.29692037
17.511663,18.94140711,-0.48133543,0.28313781,0.29599444
17.568202,18.92182562,-0.48136774,0.28316361,0.29505791
17.617050,19.02573708,-0.48140054,0.28321648,0.29409974
17.665518,19.18064956,-0.48146351,0.28324240,0.29314738
17.717311,18.93040965,-0.48151394,0.28327143,0.29221219
17.761628,19.18006716,-0.48155172,0.28328042,0.29127615
17.816825,19.02649995,-0.48159186,0.28329616,0.29034164
17.865589,19.19282913,-0.48163392,0.28334457,0.28938470
17.915989,19.07451089,-0.48166338,0.28339912,0.28843673
17.969100,18.87327387,-0.48166131,0.28345416,0.28747536
18.019675,18.98457472,-0.48166537,0.28348296,0.28650701
18.068382,19.10549294,-0.48167201,0.28354023,0.28553332
18.119752,18.97958003,-0.48169062,0.28358552,0.28457777
18.168993,18.97355354,-0.48171299,0.28360990,0.28361862
18.219518,18.82795597,-0.48175083,0.28365492,0.28264448
18.269080,18.80486397,-0.48179074,0.28368640,0.28164868
18.318071,18.69983298,-0.48185197,0.28369002,0.28064471
18.369305,18.91081491,-0.48191178,0.28369466,0.27962108
18.420484,18.59764113,-0.48196574,0.28371077,0.27862303
18.469120,18.96026836,-0.48202004,0.28373006,0.27763963
18.519816,18.80265408,-0.48204535,0.28377350,0.27667219
18.569741,18.80660393,-0.48209409,0.28377438,0.27570715
18.620304,18.80959364,-0.48212595,0.28376807,0.27475710
18.668687,18.94472878,-0.48215660,0.28376613,0.27382425
18.719325,18.81076283,-0.48218498,0.28377095,0.27288758
18.770201,18.92218056,-0.48223141,0.28379053,0.27195851
18.819859,18.80184478,-0.48227109,0.28381545,0.27100804
18.870020,18.83508173,-0.48230076,0.28384845,0.27004135
18.919382,18.84865580,-0.48232645,0.28386455,0.26906676
18.969837,18.70783474,-0.48235973,0.28388006,0.26807363
19.017574,18.59013150,-0.48237536,0.28390346,0.26706506
19.071585,19.12847592,-0.48239789,0.28390800,0.26605255
19.118522,19.14090255,-0.48241907,0.28389635,0.26505984
19.170570,18.77185401,-0.48243925,0.28390032,0.26406798
19.219814,18.98922112,-0.48245747,0.28392857,0.26306890
19.270127,19.07098159,-0.48247236,0.28397163,0.26207147
19.317473,18.49256486,-0.48251598,0.28398515,0.26105535
19.370925,19.25713595,-0.48256082,0.28397551,0.26003046
19.417567,18.89503197,-0.48260051,0.28397987,0.25902655
19.469954,18.99997144,-0.48262704,0.28401312,0.25804300
19.520288,19.24190650,-0.48265296,0.28405916,0.25706377
19.570295,18.78295382,-0.48269014,0.28410630,0.25610772
19.618849,19.09355116,-0.48271605,0.28416107,0.25514883
19.669240,18.80358655,-0.48275481,0.28418618,0.25420824
19.720031,19.06115884,-0.48276611,0.28419990,0.25325662
19.769682,18.85650344,-0.48276653,0.28425133,0.25230618
19.815280,18.88366653,-0.48278639,0.28428408,0.25136629
19.867100,18.29212533,-0.48280291,0.28432662,0.25041169
19.918371,18.93019145,-0.48283096,0.28434714,0.24946022
19.967937,18.68196136,-0.48286121,0.28439862,0.24849487
20.016427,18.88648813,-0.48290690,0.28444595,0.24753632
